Trmt,Rep,Fam,Tank,Origin,Count1,Count2,Count3,AveCount,Count/mm3,Count/ml,Vol,Total,SA(mm2),Conc
Control,1,5,C1,Inshore,24.8,22.2,27.8,24.93333333,498.6666667,498666.6667,10.25,5111333.333,929,550197.3448
Control,2,5,C2,Inshore,27.8,32.4,26.4,28.86666667,577.3333333,577333.3333,9.5,5484666.667,2052.333333,267240.5392
Control,3,5,C3,Inshore,30,32.8,30,30.93333333,618.6666667,618666.6667,11,6805333.333,1485.666667,458065.9637
Heat,1,5,H1,Inshore,22.4,18,15.4,18.6,372,372000,11.5,4278000,1335.666667,320289.4933
Heat,2,5,H2,Inshore,3,2.888888889,3.777777778,3.222222222,64.44444444,64444.44444,10.75,692777.7778,1152.333333,60119.56417
Heat,3,5,H3,Inshore,26,18.6,14.8,19.8,396,396000,10.75,4257000,1279,332838.1548
Control,1,11,C1,Inshore,37,33.8,31.6,34.13333333,682.6666667,682666.6667,11,7509333.333,2492.333333,301297.3118
Control,2,11,C2,Inshore,38.4,46.8,39.8,41.66666667,833.3333333,833333.3333,10.25,8541666.667,1922.333333,444338.4775
Control,3,11,C3,Inshore,57.8,49,53.6,53.46666667,1069.333333,1069333.333,11.5,12297333.33,2221.333333,553601.4407
Heat,1,11,H1,Inshore,4.333333333,5.333333333,4.555555556,4.740740741,94.81481481,94814.81481,10.5,995555.5556,2205.666667,45136.26518
Heat,2,11,H2,Inshore,5.111111111,5.444444444,4,4.851851852,97.03703704,97037.03704,10,970370.3704,2605.666667,37240.77154
Heat,3,11,H3,Inshore,0.222222222,0.111111111,0.222222222,0.185185185,3.703703704,3703.703704,10.75,39814.81481,1589,2505.652285
Control,1,17,C1,Inshore,27,15.8,21.6,21.46666667,429.3333333,429333.3333,10.75,4615333.333,862.3333333,535214.5342
Control,2,17,C2,Inshore,19.2,17.8,17.4,18.13333333,362.6666667,362666.6667,10.25,3717333.333,750.3333333,495424.2559
Control,3,17,C3,Inshore,19,19.2,24.2,20.8,416,416000,8.5,3536000,629,562162.1622
Heat,1,17,H1,Inshore,5.888888889,5.888888889,9.888888889,7.222222222,144.4444444,144444.4444,11.75,1697222.222,629,269828.6522
Heat,2,17,H2,Inshore,8.444444444,6.111111111,3.444444444,6,120,120000,10,1200000,722.3333333,166128.288
Heat,3,17,H3,Inshore,4,3.111111111,2.888888889,3.333333333,66.66666667,66666.66667,11,733333.3333,830.3333333,88317.9446
Control,1,19,C1,Inshore,44.2,45.4,53.8,47.8,956,956000,10,9560000,1599,597873.671
Control,2,19,C2,Inshore,53.8,46,47.4,49.06666667,981.3333333,981333.3333,11,10794666.67,1765.666667,611364.9234
Control,3,19,C3,Inshore,34.6,45,42.8,40.8,816,816000,11.25,9180000,1599,574108.818
Heat,1,19,H1,Inshore,34.2,29.4,27.6,30.4,608,608000,10.5,6384000,1230.333333,518883.7713
Heat,2,19,H2,Inshore,16.8,7.4,10.8,11.66666667,233.3333333,233333.3333,10,2333333.333,1102.333333,211672.2105
Heat,3,19,H3,Inshore,26.2,19,17.2,20.8,416,416000,9.75,4056000,1199,338281.9016
Control,1,20,C1,Inshore,21.8,26.2,28.2,25.4,508,508000,10,5080000,870.3333333,583684.4121
Control,2,20,C2,Inshore,15.6,14.8,13.4,14.6,292,292000,10.5,3066000,865.6666667,354177.8976
Control,3,20,C3,Inshore,34.8,28.4,32.8,32,640,640000,10.75,6880000,1537,447625.244
Heat,1,20,H1,Inshore,20.6,23.6,19.4,21.2,424,424000,7.5,3180000,775.6666667,409969.9183
Heat,2,20,H2,Inshore,11.2,11.4,12.6,11.73333333,234.6666667,234666.6667,11,2581333.333,942.3333333,273929.9611
Heat,3,20,H3,Inshore,14.6,12.2,10.6,12.46666667,249.3333333,249333.3333,11,2742666.667,953.6666667,287591.7511
Control,1,32,C1,Offshore,20.6,17.4,24,20.66666667,413.3333333,413333.3333,10,4133333.333,1273.666667,324522.3763
Control,2,32,C2,Offshore,15,12.8,23.2,17,340,340000,9.5,3230000,1067,302717.9007
Control,3,32,C3,Offshore,38,37.8,28.4,34.73333333,694.6666667,694666.6667,7,4862666.667,602.3333333,807304.9253
Heat,1,32,H1,Offshore,6.666666667,7.555555556,8.555555556,7.592592593,151.8518519,151851.8519,10,1518518.519,1742.333333,87154.30564
Heat,2,32,H2,Offshore,5.111111111,4.444444444,5.222222222,4.925925926,98.51851852,98518.51852,10.5,1034444.444,775.6666667,133361.9825
Heat,3,32,H3,Offshore,5.333333333,4.666666667,5.777777778,5.259259259,105.1851852,105185.1852,9.75,1025555.556,1275.666667,80393.69391
