Group,ID,Type,Tank,Origin,Fam,Trmt,T0,T7,T11,T14,T18,T21,T25,T28
C1-1-2,11,R,C1,inshore,5,control,5.170377933,5.395392924,4.603934928,5.399432108,6.011946495,6.298858013,6.199822289,6.072718335
C1-1-2,12,R,C1,inshore,5,control,5.740576364,6.004968742,4.682642412,5.182526133,5.501821492,5.748178976,5.554305841,5.633173566
C1-1-2,13,R,C1,inshore,5,control,5.408711761,5.39952253,4.626322388,5.510411338,5.84904267,6.391041267,6.179401492,5.795572437
C1-1-2,14,R,C1,inshore,5,control,5.533259521,5.648544363,4.786749122,5.797631057,5.67660741,6.123730283,6.163846054,6.250873617
C1-1-2,15,R,C1,inshore,5,control,5.123149861,5.085574105,4.349674952,5.370239974,5.351153969,5.997421497,6.138765478,5.958493042
C1-1-2,16,R,C1,inshore,5,control,5.621306631,4.947756679,4.934191798,5.665178768,5.8218974,6.04412677,6.364319341,6.391220467
C1-1-2,17,R,C1,inshore,5,control,5.673812732,5.561822625,4.680467248,5.554971446,5.942392777,5.974648414,5.996950586,6.14437001
C1-1-2,29,A,C1,inshore,5,control,6.079147033,5.985511521,5.809399833,7.042986664,6.509888864,7.221986035,7.195256162,7.149012297
C1-1-2,41,R,C1,inshore,5,control,7.318549252,6.597040425,6.96499391,6.183191025,6.343071531,6.19293376,6.204842226,6.131026146
C1-1-2,42,R,C1,inshore,5,control,7.160287179,7.283155499,7.577808545,7.007752507,7.627133566,7.230445273,6.994249916,6.818456134
C1-1-2,43,R,C1,inshore,5,control,6.717193877,6.791741052,7.068959615,6.533638219,7.299118583,6.690146535,6.361771248,6.10339057
C1-1-2,44,R,C1,inshore,5,control,7.340572285,6.583438666,7.420391785,6.802725483,7.828187782,7.242230439,7.548165672,7.541514146
C1-1-2,45,R,C1,inshore,5,control,6.95883971,6.253290582,6.65786313,6.286989167,6.187835658,5.875188991,6.040789013,5.997977746
C1-3-4,10,R,C1,inshore,5,control,6.889764595,5.371535824,5.406199241,5.112236482,5.806577815,6.401058005,6.028579714,5.92028662
C1-3-4,11,R,C1,inshore,5,control,6.203852121,5.534596353,5.371476014,5.1520119,6.067420461,6.03466255,5.425703901,5.526307043
C1-3-4,12,R,C1,inshore,5,control,6.46145766,5.834049791,5.847941977,5.494149368,6.563357337,6.157769841,5.637482566,5.482562806
C2-1-2,27,A,C2,inshore,5,control,8.216325151,6.689480719,7.068913829,7.404617812,7.320654842,7.1714647,6.59412179,6.405344563
C2-3-4,20,R,C2,inshore,5,control,5.164089462,4.610814062,4.725559197,4.633987705,5.168246243,5.373904944,5.478881845,5.014351328
C2-3-4,21,R,C2,inshore,5,control,5.46179255,4.9144518,4.689530397,4.652031303,4.797710862,5.264706379,4.745017592,5.161823182
C2-3-4,39,R,C2,inshore,5,control,5.658052972,5.378806166,5.130771779,5.244550326,5.27410308,5.406281659,4.919118139,4.953077079
C2-3-4,40,R,C2,inshore,5,control,5.360757914,5.310222816,4.934142977,4.972906237,5.656182606,5.610235283,5.278378929,4.841374912
C2-3-4,41,R,C2,inshore,5,control,5.187377921,5.5875381,5.169620641,5.448561065,5.828335674,5.996613875,5.416873153,5.1587031
C2-3-4,42,R,C2,inshore,5,control,6.151402458,5.458208405,5.046984431,5.537733949,5.468987038,5.737642575,5.322642625,5.045458187
C2-3-4,43,R,C2,inshore,5,control,5.935814798,5.585817782,5.480118061,5.539399991,5.847723786,6.272878686,5.621634142,5.260340685
C2-3-4,44,R,C2,inshore,5,control,5.798071217,5.373989275,5.02214904,5.215592939,5.510214633,5.587843913,5.255272028,4.95561159
C2-3-4,45,R,C2,inshore,5,control,5.751350328,5.535813868,5.114593924,5.313492707,5.701830097,5.537492739,5.505584518,5.086598084
