Trmt,Fam,Origin,Rep,Chla,Chlc,TChl,Vol,Nlar,TChla,ChlaPerLar
DR,5,Inshore,1,0.7190008,0.3052165,1.125440933,129.8,10,0.093326304,0.00933263
DR,20,Inshore,1,0.961324333,0.369455067,1.4315891,129.5,10,0.124491501,0.01244915
DR,11,Inshore,1,0.969125533,0.399441567,1.5016389,130.2,10,0.126180144,0.012618014
DR,19,Inshore,1,1.199924333,0.4836436,1.813671433,125,10,0.149990542,0.014999054
DR,17,Inshore,1,0.775123467,0.323760667,1.2064091,125,10,0.096890433,0.009689043
DR,34,Offshore,1,1.665691267,1.5231295,4.423291533,144,10,0.239859542,0.023985954
DR,39,Offshore,1,0.515575333,0.3104584,1.025365267,133.1,10,0.068623077,0.006862308
DR,38,Offshore,1,0.437996333,0.343911533,1.030696433,139.5,10,0.061100489,0.006110049
DR,32,Offshore,1,0.648454067,0.3318226,1.178208367,140.6,10,0.091172642,0.009117264
DR,46,Offshore,1,0.8370934,0.380167167,1.382381433,140.4,10,0.117527913,0.011752791
Control,5,Inshore,1,1.074939,0.396032333,1.571982967,128.8,10,0.138452143,0.013845214
Heat,5,Inshore,1,0.886192933,0.505411167,1.696572333,131.1,9,0.116179894,0.012908877
Control,20,Inshore,1,1.1480716,0.440911567,1.712432733,137.4,10,0.157745038,0.015774504
Heat,20,Inshore,1,1.282766,0.485417567,1.906756333,137.6,10,0.176508602,0.01765086
Control,11,Inshore,1,1.245707267,0.477441867,1.852956067,135.6,10,0.168917905,0.016891791
Heat,11,Inshore,1,1.2746646,0.479103367,1.858784533,159.4,11,0.203181537,0.018471049
Control,19,Inshore,1,1.409543333,0.557807667,2.079133567,131.1,10,0.184791131,0.018479113
Heat,19,Inshore,1,1.707450933,0.929836533,2.905937867,133.5,10,0.2279447,0.02279447
Control,17,Inshore,1,0.994635867,0.389017767,1.4505318,138.3,10,0.13755814,0.013755814
Heat,17,Inshore,1,1.1586812,0.553454833,1.942649633,138.3,10,0.16024561,0.016024561
Control,34,Offshore,1,1.349813,0.531342867,2.025996133,141.1,10,0.190458614,0.019045861
Heat,34,Offshore,1,1.1605654,0.4420001,1.714443233,141.2,10,0.163871834,0.016387183
Control,39,Offshore,1,0.518767,0.1732565,0.7239002,138.8,10,0.07200486,0.007200486
Heat,39,Offshore,1,0.562742133,0.232255767,0.873240167,140,10,0.078783899,0.00787839
Control,38,Offshore,1,0.536523467,0.209572133,0.824326767,138.5,10,0.0743085,0.00743085
Heat,38,Offshore,1,0.3913274,0.1329749,0.543962767,131.2,10,0.051342155,0.005134215
Control,32,Offshore,1,0.6125712,0.179284733,0.7961812,137.4,9,0.084167283,0.00935192
Heat,32,Offshore,2,0.714808533,0.294660633,1.156683567,140.3,10,0.100287637,0.010028764
Control,46,Offshore,1,0.832892,0.2697585,1.132965067,140.3,9,0.116854748,0.012983861
Heat,46,Offshore,1,0.992591,0.504637167,1.7635045,135.4,10,0.134396821,0.013439682
DR,5,Inshore,2,NA,NA,NA,143.6,10,NA,NA
DR,20,Inshore,2,NA,NA,NA,137.8,10,NA,NA
DR,11,Inshore,2,NA,NA,NA,136.4,10,NA,NA
DR,19,Inshore,2,NA,NA,NA,137.7,10,NA,NA
DR,17,Inshore,2,0.9993935,0.867103167,2.133046567,138.2,10,0.138116182,0.013811618
DR,34,Offshore,2,2.1115446,2.181183983,6.133626533,135.5,10,0.286114293,0.028611429
DR,39,Offshore,2,0.67668,0.381101417,1.209694067,144.3,10,0.097644924,0.009764492
DR,38,Offshore,2,0.5689087,0.234882367,0.916628567,140.4,10,0.079874781,0.007987478
DR,32,Offshore,2,0.5998351,0.286265917,0.964104867,135.5,10,0.081277656,0.008127766
DR,46,Offshore,2,0.6982528,0.390321233,1.311760767,137.2,10,0.095800284,0.009580028
Control,5,Inshore,2,1.380541133,0.729105667,2.453783733,138.2,10,0.190790785,0.019079078
Heat,5,Inshore,2,1.135347333,0.567074233,1.935752267,142.6,10,0.16190053,0.016190053
Control,20,Inshore,2,1.5607868,0.6564857,2.439783067,140,10,0.218510152,0.021851015
