Trmt,Fam,Origin,Rep,Count1,Count2,Count3,AveCount,Count/mm3,Vol,TotalCount,Nlar,CountPerLar
DR,5,Inshore,1,22.8,16.6,11.4,16.93333333,338.6666667,129.8,43958.93333,10,4395.893333
DR,20,Inshore,1,22.2,14.6,14.8,17.2,344,129.5,44548,10,4454.8
DR,11,Inshore,1,26.4,21.2,25,24.2,484,130.2,63016.8,10,6301.68
DR,19,Inshore,1,41.4,31.4,39.6,37.46666667,749.3333333,125,93666.66667,10,9366.666667
DR,17,Inshore,1,21,28.6,16.8,22.13333333,442.6666667,125,55333.33333,10,5533.333333
DR,34,Offshore,1,57.2,45.4,40.6,47.73333333,954.6666667,144,137472,10,13747.2
DR,39,Offshore,1,22.4,25.6,24,24,480,133.1,63888,10,6388.8
DR,38,Offshore,1,16.6,20,17.6,18.06666667,361.3333333,139.5,50406,10,5040.6
DR,32,Offshore,1,36.6,34,20.6,30.4,608,140.6,85484.8,10,8548.48
DR,46,Offshore,1,42.6,46.2,33.8,40.86666667,817.3333333,140.4,114753.6,10,11475.36
Control,5,Inshore,1,32.2,36.6,47,38.6,772,128.8,99433.6,10,9943.36
Heat,5,Inshore,1,30.6,38.8,40,36.46666667,729.3333333,131.1,95615.6,9,10623.95556
Control,20,Inshore,1,49.6,47.6,41.6,46.26666667,925.3333333,137.4,127140.8,10,12714.08
Heat,20,Inshore,1,41.2,30,39.4,36.86666667,737.3333333,137.6,101457.0667,10,10145.70667
Control,11,Inshore,1,50,47.2,50.4,49.2,984,135.6,133430.4,10,13343.04
Heat,11,Inshore,1,27.4,34.2,39.6,33.73333333,674.6666667,159.4,107541.8667,11,9776.533333
Control,19,Inshore,1,53,65.2,56.4,58.2,1164,131.1,152600.4,10,15260.04
Heat,19,Inshore,1,66,50.4,45.6,54,1080,133.5,144180,10,14418
Control,17,Inshore,1,27,25.4,30.6,27.66666667,553.3333333,138.3,76526,10,7652.6
Heat,17,Inshore,1,46.6,32.6,43.2,40.8,816,138.3,112852.8,10,11285.28
Control,34,Offshore,1,46.8,34,36.2,39,780,141.1,110058,10,11005.8
Heat,34,Offshore,1,30,30.8,37.8,32.86666667,657.3333333,141.2,92815.46667,10,9281.546667
Control,39,Offshore,1,25.6,21.2,20.2,22.33333333,446.6666667,138.8,61997.33333,10,6199.733333
Heat,39,Offshore,1,15.6,12.4,14.2,14.06666667,281.3333333,140,39386.66667,10,3938.666667
Control,38,Offshore,1,21,13.2,24.4,19.53333333,390.6666667,138.5,54107.33333,10,5410.733333
Heat,38,Offshore,1,22.6,24.6,22,23.06666667,461.3333333,131.2,60526.93333,10,6052.693333
Control,32,Offshore,1,19,21,21.6,20.53333333,410.6666667,137.4,56425.6,9,6269.511111
Heat,32,Offshore,2,23,25.6,26.6,25.06666667,501.3333333,140.3,70337.06667,10,7033.706667
Control,46,Offshore,1,46.4,40.4,43,43.26666667,865.3333333,140.3,121406.2667,9,13489.58519
Heat,46,Offshore,1,45.6,42.8,48,45.46666667,909.3333333,135.4,123123.7333,10,12312.37333
