Trmt,Fam,Tank,Origin,Rep,Chla,Chlc,TChl,Vol,TotalChla,SA,ChlaPerSA
Control,5,C1,Inshore,1,2.627631867,1.5685947,5.426164767,131,0.344219775,0.162,2.124813423
Heat,5,H1,Inshore,1,1.2585675,0.737044633,2.680351617,180,0.22654215,0.107,2.117216355
Control,20,C1,Inshore,1,1.2205193,0.821403083,2.690978967,128,0.15622647,0.098,1.594147657
Heat,20,H1,Inshore,1,2.1961704,2.079393983,6.005864367,135,0.296483004,0.207,1.432285043
Control,11,C1,Inshore,1,1.8729156,1.963309683,5.747462967,132,0.247224859,0.043,5.74941533
Heat,11,H1,Inshore,1,NA,NA,NA,136,NA,0.009,NA
Control,19,C1,Inshore,1,3.8791345,4.423510733,12.16971497,130,0.504287485,0.255,1.97759798
Heat,19,H1,Inshore,1,2.7464242,3.155685233,8.661503467,128,0.351542298,0.258,1.362567045
Control,17,C1,Inshore,1,3.1729905,3.559679383,9.969343317,125,0.396623813,0.1,3.966238125
Heat,17,H1,Inshore,1,3.5079217,3.098451883,9.168803517,128,0.449013978,0.275,1.6327781
Control,34,C1,Offshore,1,4.6400216,4.638370933,13.20327567,125,0.5800027,0.215,2.697686977
Heat,34,H1,Offshore,1,4.401409467,5.0620231,13.93693847,130,0.572183231,0.4,1.430458077
Control,39,C1,Offshore,1,3.9462072,4.071733133,11.90579972,126,0.497222107,0.057,8.723194863
Heat,39,H1,Offshore,1,3.8721096,3.596642433,11.14559147,126,0.48788581,0.112,4.3561233
Control,38,C1,Offshore,1,3.7629048,2.629349333,9.360750717,125,0.4703631,0.058,8.109708621
Heat,38,H1,Offshore,1,1.1946126,1.020894067,3.0191992,126,0.150521188,0.047,3.20257846
Control,32,C1,Offshore,1,1.7458213,1.396039533,4.337643667,125,0.218227663,0.044,4.959719602
Heat,32,H1,Offshore,1,NA,NA,NA,132,NA,0.233,NA
Control,46,C1,Offshore,1,NA,NA,NA,128,NA,0.186,NA
Heat,46,H1,Offshore,1,2.630013133,2.962041367,7.9328289,128,0.336641681,0.254,1.325360949
Control,5,C2,Inshore,2,1.201674067,0.4377365,2.0392694,128,0.153814281,0.164,0.937891954
Heat,5,H2,Inshore,2,0.448713333,0.191153683,0.8248046,126,0.05653788,0.162,0.348999259
Control,20,C2,Inshore,2,1.675411933,0.596430383,2.6798963,133,0.222829787,0.123,1.811624286
Heat,20,H2,Inshore,2,0.281672533,0.103965583,0.54366525,126,0.035490739,0.103,0.344570283
Control,11,C2,Inshore,2,0.359058633,0.168881783,0.640027,125,0.044882329,0.034,1.320068505
Heat,11,H2,Inshore,2,0.879635567,1.196977617,3.19898285,125,0.109954446,0.046,2.39031404
Control,19,C2,Inshore,2,0.3926216,0.180227567,0.769694533,125,0.0490777,0.1,0.490777
Heat,19,H2,Inshore,2,0.444836433,0.101190683,0.72866355,129,0.0573839,0.219,0.26202694
Control,17,C2,Inshore,2,2.000829333,0.6696224,2.9428142,132,0.264109472,0.184,1.435377565
Heat,17,H2,Inshore,2,1.148166333,0.367698,1.8117839,132,0.151557956,0.26,0.582915215
Control,34,C2,Offshore,2,3.4740292,1.211183367,5.2426787,126,0.437727679,0.292,1.499067395
Heat,34,H2,Offshore,2,0.274629067,0.097386133,0.5053947,128,0.035152521,0.15,0.234350137
Control,39,C2,Offshore,2,0.413262867,0.252846233,0.912137133,125,0.051657858,0.059,0.875556921
Heat,39,H2,Offshore,2,0.1119846,0.049143767,0.254061967,125,0.013998075,0.071,0.197155986
Control,38,C2,Offshore,2,0.413477533,0.175574867,0.7275512,131,0.054165557,0.059,0.918060286
Heat,38,H2,Offshore,2,0.1706616,0.0124675,0.265919767,132,0.022527331,0.075,0.300364416
Control,32,C2,Offshore,2,0.814570467,0.442023233,1.726391567,141,0.114854436,0.132,0.870109362
Heat,32,H2,Offshore,2,0.5840864,0.272659067,1.222413767,138,0.080603923,0.262,0.307648562
Control,46,C2,Offshore,2,0.7566994,0.254230733,1.205132833,126,0.095344124,0.117,0.814907046
Heat,46,H2,Offshore,2,0.486797067,0.051006967,0.808456967,130,0.063283619,0.18,0.351575659
Control,5,C3,Inshore,3,1.791243133,0.7336741,3.0688028,126,0.225696635,0.215,1.04975179
Heat,5,H3,Inshore,3,0.894140333,0.3660574,1.507907333,128,0.114449963,0.24,0.476874844
Control,20,C3,Inshore,3,0.9979156,0.328434933,1.569821,128,0.127733197,0.131,0.975062571
Heat,20,H3,Inshore,3,0.6825304,0.561071467,1.799414033,156,0.106474742,0.135,0.788701796
Control,11,C3,Inshore,3,0.408538733,0.155038433,0.717848867,126,0.05147588,0.046,1.119040878
Heat,11,H3,Inshore,3,2.0908858,1.574616567,4.978703867,130,0.271815154,0.226,1.20272192
Control,19,C3,Inshore,3,1.546398067,0.862871733,3.223215733,132,0.204124545,0.241,0.846989812
Heat,19,H3,Inshore,3,0.577753333,0.212760733,0.994339,131,0.075685687,0.215,0.35202645
Control,17,C3,Inshore,3,1.9401918,0.6373417,2.9334981,132,0.256105318,0.205,1.249294232
Heat,17,H3,Inshore,3,2.473793467,1.0719131,4.2478233,140,0.346331085,0.344,1.006776411
Control,34,C3,Offshore,3,1.249033067,0.482074967,2.064705567,142,0.177362695,0.145,1.223191003
Heat,34,H3,Offshore,3,1.144373,0.5407345,2.0282818,139,0.159067847,0.344,0.462406532
Control,39,C3,Offshore,3,0.300986,0.089052133,0.487873233,133,0.040031138,0.044,0.909798591
Heat,39,H3,Offshore,3,0.235185867,0.013653567,0.372781733,128,0.030103791,0.07,0.430054156
Control,38,C3,Offshore,3,0.242833,0.124637533,0.5500105,125,0.030354125,0.048,0.632377604
Heat,38,H3,Offshore,3,0.231384667,0.098347267,0.4377438,133,0.030774161,0.089,0.345777086
Control,32,C3,Offshore,3,1.200603667,0.413065267,1.9096107,132,0.158479684,0.234,0.677263607
Heat,32,H3,Offshore,3,0.949433467,0.344041933,1.643668933,131,0.124375784,0.34,0.36581113
Control,46,C3,Offshore,3,2.165529067,0.713608167,3.2909564,127,0.275022191,0.241,1.141170919
Heat,46,H3,Offshore,3,0.772440067,0.2831861,1.278797567,130,0.100417209,0.201,0.499588103
