Trmt,Fam,Tank,Origin,Rep,Conc(µg/ml),Vol,TotalPr,SA,PrPerSA
Control,5,C1,Inshore,1,69.75,131,9.13725,0.162,56.40277778
Heat,5,H1,Inshore,1,56,180,10.08,0.107,94.20560748
Control,20,C1,Inshore,1,59.75,128,7.648,0.098,78.04081633
Heat,20,H1,Inshore,1,72.25,135,9.75375,0.207,47.11956522
Control,11,C1,Inshore,1,64.75,132,8.547,0.043,198.7674419
Heat,11,H1,Inshore,1,54,136,7.344,0.009,816
Control,19,C1,Inshore,1,59,130,7.67,0.255,30.07843137
Heat,19,H1,Inshore,1,69,128,8.832,0.258,34.23255814
Control,17,C1,Inshore,1,54,125,6.75,0.1,67.5
Heat,17,H1,Inshore,1,92.75,128,11.872,0.275,43.17090909
Control,34,C1,Offshore,1,82.66666667,125,10.33333333,0.215,48.0620155
Heat,34,H1,Offshore,1,106,130,13.78,0.4,34.45
Control,39,C1,Offshore,1,72.66666667,126,9.156,0.057,160.6315789
Heat,39,H1,Offshore,1,64.33333333,126,8.106,0.112,72.375
Control,38,C1,Offshore,1,67.66666667,125,8.458333333,0.058,145.8333333
Heat,38,H1,Offshore,1,56.25,126,7.0875,0.047,150.7978723
Control,32,C1,Offshore,1,53.75,125,6.71875,0.044,152.6988636
Heat,32,H1,Offshore,1,68.75,132,9.075,0.233,38.94849785
Control,46,C1,Offshore,1,68.75,128,8.8,0.186,47.31182796
Heat,46,H1,Offshore,1,88.75,128,11.36,0.254,44.72440945
Control,5,C2,Inshore,2,67.5,128,8.64,0.164,52.68292683
Heat,5,H2,Inshore,2,61.25,126,7.7175,0.162,47.63888889
Control,20,C2,Inshore,2,65,133,8.645,0.123,70.28455285
Heat,20,H2,Inshore,2,57.5,126,7.245,0.103,70.33980583
Control,11,C2,Inshore,2,57.5,125,7.1875,0.034,211.3970588
Heat,11,H2,Inshore,2,56.25,125,7.03125,0.046,152.8532609
Control,19,C2,Inshore,2,58.75,125,7.34375,0.1,73.4375
Heat,19,H2,Inshore,2,67.5,129,8.7075,0.219,39.76027397
Control,17,C2,Inshore,2,76.25,132,10.065,0.184,54.70108696
Heat,17,H2,Inshore,2,71.25,132,9.405,0.26,36.17307692
Control,34,C2,Offshore,2,115,126,14.49,0.292,49.62328767
Heat,34,H2,Offshore,2,61.25,128,7.84,0.15,52.26666667
Control,39,C2,Offshore,2,56.25,125,7.03125,0.059,119.1737288
Heat,39,H2,Offshore,2,52.5,125,6.5625,0.071,92.42957746
Control,38,C2,Offshore,2,57.5,131,7.5325,0.059,127.6694915
Heat,38,H2,Offshore,2,60,132,7.92,0.075,105.6
Control,32,C2,Offshore,2,61.25,141,8.63625,0.132,65.42613636
Heat,32,H2,Offshore,2,67.5,138,9.315,0.262,35.55343511
Control,46,C2,Offshore,2,70,126,8.82,0.117,75.38461538
Heat,46,H2,Offshore,2,58.75,130,7.6375,0.18,42.43055556
Control,5,C3,Inshore,3,72.5,126,9.135,0.215,42.48837209
Heat,5,H3,Inshore,3,66.25,128,8.48,0.24,35.33333333
Control,20,C3,Inshore,3,62.5,128,8,0.131,61.06870229
Heat,20,H3,Inshore,3,63.75,156,9.945,0.135,73.66666667
Control,11,C3,Inshore,3,57.5,126,7.245,0.046,157.5
Heat,11,H3,Inshore,3,77.5,130,10.075,0.226,44.57964602
Control,19,C3,Inshore,3,61.25,132,8.085,0.241,33.54771784
Heat,19,H3,Inshore,3,70,131,9.17,0.215,42.65116279
Control,17,C3,Inshore,3,67.5,132,8.91,0.205,43.46341463
Heat,17,H3,Inshore,3,103.75,140,14.525,0.344,42.22383721
Control,34,C3,Offshore,3,59.5,142,8.449,0.145,58.26896552
Heat,34,H3,Offshore,3,89.5,139,12.4405,0.344,36.16424419
Control,39,C3,Offshore,3,52,133,6.916,0.044,157.1818182
Heat,39,H3,Offshore,3,52,128,6.656,0.07,95.08571429
Control,38,C3,Offshore,3,52,125,6.5,0.048,135.4166667
Heat,38,H3,Offshore,3,56.66666667,133,7.536666667,0.089,84.68164794
Control,32,C3,Offshore,3,70,132,9.24,0.234,39.48717949
Heat,32,H3,Offshore,3,76.66666667,131,10.04333333,0.34,29.53921569
Control,46,C3,Offshore,3,86.66666667,127,11.00666667,0.241,45.67081604
Heat,46,H3,Offshore,3,63.33333333,130,8.233333333,0.201,40.96185738
