Trmt,Fam,Tank,Origin,Rep,Count1,Count2,Count3,AveCount,Count/mm3,Vol,TotCount,SA,CountPerSA
Control,5,C1,Inshore,1,76,83,66.2,75.06666667,1501.333333,131,196674.6667,0.162,1214041.15
Heat,5,H1,Inshore,1,8.444444444,9.222222222,7.777777778,8.481481481,169.6296296,180,30533.33333,0.107,285358.26
Control,20,C1,Inshore,1,11.6,14.6,16.4,14.2,284,128,36352,0.098,370938.78
Heat,20,H1,Inshore,1,27.4,31.6,28.2,29.06666667,581.3333333,135,78480,0.207,379130.43
Control,11,C1,Inshore,1,8.666666667,8,7.777777778,8.148148148,162.962963,132,21511.11111,0.043,500258.40
Heat,11,H1,Inshore,1,1.333333333,1.777777778,2.222222222,1.777777778,35.55555556,136,4835.555556,0.009,537283.95
Control,19,C1,Inshore,1,66.4,62.8,49.6,59.6,1192,130,154960,0.255,607686.27
Heat,19,H1,Inshore,1,41.2,45.2,42.2,42.86666667,857.3333333,128,109738.6667,0.258,425343.67
Control,17,C1,Inshore,1,40.8,39,31.2,37,740,125,92500,0.1,925000.00
Heat,17,H1,Inshore,1,65.2,60.6,26.4,50.73333333,1014.666667,128,129877.3333,0.275,472281.21
Control,34,C1,Offshore,1,97.8,107.6,54.4,86.6,1732,125,216500,0.215,1006976.74
Heat,34,H1,Offshore,1,24.6,26.8,22.2,24.53333333,490.6666667,130,63786.66667,0.4,159466.67
Control,39,C1,Offshore,1,11.8,16,10,12.6,252,126,31752,0.057,557052.63
Heat,39,H1,Offshore,1,4,6,4.333333333,4.777777778,95.55555556,126,12040,0.112,107500.00
Control,38,C1,Offshore,1,29.4,28,27,28.13333333,562.6666667,125,70333.33333,0.058,1212643.68
Heat,38,H1,Offshore,1,2.333333333,3.222222222,2.222222222,2.592592593,51.85185185,126,6533.333333,0.047,139007.09
Control,32,C1,Offshore,1,18.4,18.6,18.4,18.46666667,369.3333333,125,46166.66667,0.044,1049242.42
Heat,32,H1,Offshore,1,16.8,18.4,14,16.4,328,132,43296,0.233,185819.74
Control,46,C1,Offshore,1,128,129.6,95,117.5333333,2350.666667,128,300885.3333,0.186,1617663.08
Heat,46,H1,Offshore,1,56.6,48.6,33.2,46.13333333,922.6666667,128,118101.3333,0.254,464965.88
Control,5,C2,Inshore,2,62.2,55.2,54.6,57.33333333,1146.666667,128,146773.3333,0.164,894959.35
Heat,5,H2,Inshore,2,17.6,28.2,11.6,19.13333333,382.6666667,126,48216,0.162,297629.63
Control,20,C2,Inshore,2,115.8,94.4,NA,105.1,2102,133,279566,0.123,2272894.31
Heat,20,H2,Inshore,2,6.111111111,4,5.666666667,5.259259259,105.1851852,126,13253.33333,0.103,128673.14
Control,11,C2,Inshore,2,12,12.6,10.6,11.73333333,234.6666667,125,29333.33333,0.034,862745.10
Heat,11,H2,Inshore,2,2.666666667,3.222222222,3.444444444,3.111111111,62.22222222,125,7777.777778,0.046,169082.13
Control,19,C2,Inshore,2,16,14.6,11.2,13.93333333,278.6666667,125,34833.33333,0.1,348333.33
Heat,19,H2,Inshore,2,16.2,14.6,NA,15.4,308,129,39732,0.219,181424.66
Control,17,C2,Inshore,2,93.2,120.4,80.4,98,1960,132,258720,0.184,1406086.96
Heat,17,H2,Inshore,2,76.4,43,37.8,52.4,1048,132,138336,0.26,532061.54
Control,34,C2,Offshore,2,228.6,232.4,NA,230.5,4610,126,580860,0.292,1989246.58
Heat,34,H2,Offshore,2,27.2,8.4,14,16.53333333,330.6666667,128,42325.33333,0.15,282168.89
Control,39,C2,Offshore,2,21,21.2,15,19.06666667,381.3333333,125,47666.66667,0.059,807909.60
Heat,39,H2,Offshore,2,2.666666667,1.666666667,NA,2.166666667,43.33333333,125,5416.666667,0.071,76291.08
Control,38,C2,Offshore,2,17.4,21.6,17.4,18.8,376,131,49256,0.059,834847.46
Heat,38,H2,Offshore,2,4.333333333,5.888888889,3.777777778,4.666666667,93.33333333,132,12320,0.075,164266.67
Control,32,C2,Offshore,2,34,30.2,NA,32.1,642,141,90522,0.132,685772.73
Heat,32,H2,Offshore,2,20.6,34.6,NA,27.6,552,138,76176,0.262,290748.09
Control,46,C2,Offshore,2,82.2,87.4,NA,84.8,1696,126,213696,0.117,1826461.54
Heat,46,H2,Offshore,2,23.4,17.2,NA,20.3,406,130,52780,0.18,293222.22
Control,5,C3,Inshore,3,96.4,102.4,NA,99.4,1988,126,250488,0.215,1165060.47
Heat,5,H3,Inshore,3,62.8,56.4,NA,59.6,1192,128,152576,0.24,635733.33
Control,20,C3,Inshore,3,29.2,32.6,NA,30.9,618,128,79104,0.131,603847.33
Heat,20,H3,Inshore,3,6.333333333,6.888888889,NA,6.611111111,132.2222222,156,20626.66667,0.135,152790.12
Control,11,C3,Inshore,3,24.6,23.4,NA,24,480,126,60480,0.046,1314782.61
Heat,11,H3,Inshore,3,77,73,NA,75,1500,130,195000,0.226,862831.86
Control,19,C3,Inshore,3,58.8,50.2,NA,54.5,1090,132,143880,0.241,597012.45
Heat,19,H3,Inshore,3,33,30,NA,31.5,630,131,82530,0.215,383860.47
Control,17,C3,Inshore,3,97,82.8,NA,89.9,1798,132,237336,0.205,1157736.59
Heat,17,H3,Inshore,3,68.8,73.8,NA,71.3,1426,140,199640,0.344,580348.84
Control,34,C3,Offshore,3,98.2,93,NA,95.6,1912,142,271504,0.145,1872441.38
Heat,34,H3,Offshore,3,20.2,21.4,NA,20.8,416,139,57824,0.344,168093.02
Control,39,C3,Offshore,3,15.6,11.4,NA,13.5,270,133,35910,0.044,816136.36
Heat,39,H3,Offshore,3,5.111111111,8,NA,6.555555556,131.1111111,128,16782.22222,0.07,239746.03
Control,38,C3,Offshore,3,3.777777778,4.111111111,NA,3.944444444,78.88888889,125,9861.111111,0.048,205439.81
Heat,38,H3,Offshore,3,5,5.777777778,NA,5.388888889,107.7777778,133,14334.44444,0.089,161061.17
Control,32,C3,Offshore,3,59.4,61.4,NA,60.4,1208,132,159456,0.234,681435.90
Heat,32,H3,Offshore,3,21.6,26.4,NA,24,480,131,62880,0.34,184941.18
Control,46,C3,Offshore,3,148.8,169.6,NA,159.2,3184,127,404368,0.241,1677875.52
Heat,46,H3,Offshore,3,41,48.8,NA,44.9,898,130,116740,0.201,580796.02
